/dlm_data_19700101_000008.gdat:
Parameter ID, Timestamp, Data
11, 2200, 0.000000
10, 2200, 1.000000
9, 2200, 1.000000
11, 2100, 0.000000
10, 2100, 1.000000
9, 2100, 1.000000
11, 2000, 0.000000
10, 2000, 1.000000
9, 2000, 1.000000
11, 1900, 0.000000
10, 1900, 1.000000
9, 1900, 1.000000
11, 1800, 0.000000
10, 1800, 1.000000
9, 1800, 1.000000
11, 1700, 0.000000
10, 1700, 1.000000
9, 1700, 1.000000
11, 1600, 0.000000
10, 1600, 1.000000
9, 1600, 1.000000
11, 1500, 0.000000
10, 1500, 1.000000
9, 1500, 1.000000
11, 1400, 0.000000
10, 1400, 1.000000
9, 1400, 1.000000
11, 1300, 0.000000
10, 1300, 1.000000
9, 1300, 1.000000
11, 1200, 0.000000
10, 1200, 1.000000
9, 1200, 1.000000
11, 1100, 0.000000
10, 1100, 1.000000
9, 1100, 1.000000
11, 1000, 0.000000
10, 1000, 1.000000
9, 1000, 1.000000
11, 900, 0.000000
10, 900, 1.000000
9, 900, 1.000000
11, 800, 0.000000
10, 800, 1.000000
9, 800, 1.000000
11, 700, 0.000000
10, 700, 1.000000
9, 700, 1.000000
11, 600, 0.000000
10, 600, 1.000000
9, 600, 1.000000
11, 500, 0.000000
10, 500, 1.000000
9, 500, 1.000000
11, 400, 0.000000
10, 400, 1.000000
9, 400, 1.000000
11, 300, 0.000000
10, 300, 1.000000
9, 300, 1.000000
11, 200, 0.000000
10, 200, 1.000000
9, 200, 1.000000
11, 100, 0.000000
10, 100, 1.000000
9, 100, 1.000000
11, 4200, 0.000000
10, 4200, 1.000000
9, 4200, 1.000000
11, 4100, 0.000000
10, 4100, 1.000000
9, 4100, 1.000000
11, 4000, 0.000000
10, 4000, 1.000000
9, 4000, 1.000000
11, 3900, 0.000000
10, 3900, 1.000000
9, 3900, 1.000000
11, 3800, 0.000000
10, 3800, 1.000000
9, 3800, 1.000000
11, 3700, 0.000000
10, 3700, 1.000000
9, 3700, 1.000000
11, 3600, 0.000000
10, 3600, 1.000000
9, 3600, 1.000000
11, 3500, 0.000000
10, 3500, 1.000000
9, 3500, 1.000000
11, 3400, 0.000000
10, 3400, 1.000000
9, 3400, 1.000000
11, 3300, 0.000000
10, 3300, 1.000000
9, 3300, 1.000000
11, 3200, 0.000000
10, 3200, 1.000000
9, 3200, 1.000000
11, 3100, 0.000000
10, 3100, 1.000000
9, 3100, 1.000000
11, 3000, 0.000000
10, 3000, 1.000000
9, 3000, 1.000000
11, 2900, 0.000000
10, 2900, 1.000000
9, 2900, 1.000000
11, 2800, 0.000000
10, 2800, 1.000000
9, 2800, 1.000000
11, 2700, 0.000000
10, 2700, 1.000000
9, 2700, 1.000000
11, 2600, 0.000000
10, 2600, 1.000000
9, 2600, 1.000000
11, 2500, 0.000000
10, 2500, 1.000000
9, 2500, 1.000000
11, 2400, 0.000000
10, 2400, 1.000000
9, 2400, 1.000000
11, 2300, 0.000000
10, 2300, 1.000000
9, 2300, 1.000000
11, 6200, 0.000000
10, 6200, 1.000000
9, 6200, 1.000000
11, 6100, 0.000000
10, 6100, 1.000000
9, 6100, 1.000000
11, 6000, 0.000000
10, 6000, 1.000000
9, 6000, 1.000000
11, 5900, 0.000000
10, 5900, 1.000000
9, 5900, 1.000000
11, 5800, 0.000000
10, 5800, 1.000000
9, 5800, 1.000000
11, 5700, 0.000000
10, 5700, 1.000000
9, 5700, 1.000000
11, 5600, 0.000000
10, 5600, 1.000000
9, 5600, 1.000000
11, 5500, 0.000000
10, 5500, 1.000000
9, 5500, 1.000000
11, 5400, 0.000000
10, 5400, 1.000000
9, 5400, 1.000000
11, 5300, 0.000000
10, 5300, 1.000000
9, 5300, 1.000000
11, 5200, 0.000000
10, 5200, 1.000000
9, 5200, 1.000000
11, 5100, 0.000000
10, 5100, 1.000000
9, 5100, 1.000000
11, 5000, 0.000000
10, 5000, 1.000000
9, 5000, 1.000000
11, 4900, 0.000000
10, 4900, 1.000000
9, 4900, 1.000000
11, 4800, 0.000000
10, 4800, 1.000000
9, 4800, 1.000000
11, 4700, 0.000000
10, 4700, 1.000000
9, 4700, 1.000000
11, 4600, 0.000000
10, 4600, 1.000000
9, 4600, 1.000000
11, 4500, 0.000000
10, 4500, 1.000000
9, 4500, 1.000000
11, 4400, 0.000000
10, 4400, 1.000000
9, 4400, 1.000000
11, 4300, 0.000000
10, 4300, 1.000000
9, 4300, 1.000000
11, 8200, 0.000000
10, 8200, 1.000000
9, 8200, 1.000000
11, 8100, 0.000000
10, 8100, 1.000000
9, 8100, 1.000000
11, 8000, 0.000000
10, 8000, 1.000000
9, 8000, 1.000000
11, 7900, 0.000000
10, 7900, 1.000000
9, 7900, 1.000000
11, 7800, 0.000000
10, 7800, 1.000000
9, 7800, 1.000000
11, 7700, 0.000000
10, 7700, 1.000000
9, 7700, 1.000000
11, 7600, 0.000000
10, 7600, 1.000000
9, 7600, 1.000000
11, 7500, 0.000000
10, 7500, 1.000000
9, 7500, 1.000000
11, 7400, 0.000000
10, 7400, 1.000000
9, 7400, 1.000000
11, 7300, 0.000000
10, 7300, 1.000000
9, 7300, 1.000000
11, 7200, 0.000000
10, 7200, 1.000000
9, 7200, 1.000000
11, 7100, 0.000000
10, 7100, 1.000000
9, 7100, 1.000000
11, 7000, 0.000000
10, 7000, 1.000000
9, 7000, 1.000000
11, 6900, 0.000000
10, 6900, 1.000000
9, 6900, 1.000000
11, 6800, 0.000000
10, 6800, 1.000000
9, 6800, 1.000000
11, 6700, 0.000000
10, 6700, 1.000000
9, 6700, 1.000000
11, 6600, 0.000000
10, 6600, 1.000000
9, 6600, 1.000000
11, 6500, 0.000000
10, 6500, 1.000000
9, 6500, 1.000000
11, 6400, 0.000000
10, 6400, 1.000000
9, 6400, 1.000000
11, 6300, 0.000000
10, 6300, 1.000000
9, 6300, 1.000000
11, 10200, 0.000000
10, 10200, 1.000000
9, 10200, 1.000000
11, 10100, 0.000000
10, 10100, 1.000000
9, 10100, 1.000000
11, 10000, 0.000000
10, 10000, 1.000000
9, 10000, 1.000000
11, 9900, 0.000000
10, 9900, 1.000000
9, 9900, 1.000000
11, 9800, 0.000000
10, 9800, 1.000000
9, 9800, 1.000000
11, 9700, 0.000000
10, 9700, 1.000000
9, 9700, 1.000000
11, 9600, 0.000000
10, 9600, 1.000000
9, 9600, 1.000000
11, 9500, 0.000000
10, 9500, 1.000000
9, 9500, 1.000000
11, 9400, 0.000000
10, 9400, 1.000000
9, 9400, 1.000000
11, 9300, 0.000000
10, 9300, 1.000000
9, 9300, 1.000000
11, 9200, 0.000000
10, 9200, 1.000000
9, 9200, 1.000000
11, 9100, 0.000000
10, 9100, 1.000000
9, 9100, 1.000000
11, 9000, 0.000000
10, 9000, 1.000000
9, 9000, 1.000000
11, 8900, 0.000000
10, 8900, 1.000000
9, 8900, 1.000000
11, 8800, 0.000000
10, 8800, 1.000000
9, 8800, 1.000000
11, 8700, 0.000000
10, 8700, 1.000000
9, 8700, 1.000000
11, 8600, 0.000000
10, 8600, 1.000000
9, 8600, 1.000000
11, 8500, 0.000000
10, 8500, 1.000000
9, 8500, 1.000000
11, 8400, 0.000000
10, 8400, 1.000000
9, 8400, 1.000000
11, 8300, 0.000000
10, 8300, 1.000000
9, 8300, 1.000000
11, 12200, 0.000000
10, 12200, 1.000000
9, 12200, 1.000000
11, 12100, 0.000000
10, 12100, 1.000000
9, 12100, 1.000000
