/dlm_data_19700101_000000.gdat4:
Parameter ID, Timestamp, Data
25, 2200, 0.044435
32, 2200, 0.254824
18, 2200, 0.624050
25, 2190, 0.043698
32, 2190, 0.254333
18, 2190, 0.625032
25, 2180, 0.043944
32, 2180, 0.254824
18, 2180, 0.625277
25, 2170, 0.043698
32, 2170, 0.254579
18, 2170, 0.625277
25, 2160, 0.044189
32, 2160, 0.254579
18, 2160, 0.624786
25, 2150, 0.043944
32, 2150, 0.254579
18, 2150, 0.624541
25, 2140, 0.043944
32, 2140, 0.254824
18, 2140, 0.624295
32, 2130, 0.255070
25, 2130, 0.043698
18, 2130, 0.624295
25, 2120, 0.044189
32, 2120, 0.254824
18, 2120, 0.624786
25, 2110, 0.044189
32, 2110, 0.254824
18, 2110, 0.624786
25, 2100, 0.043944
32, 2100, 0.254579
18, 2100, 0.625277
25, 2090, 0.044189
32, 2090, 0.255070
18, 2090, 0.625277
25, 2080, 0.044189
32, 2080, 0.254333
18, 2080, 0.624541
25, 2070, 0.044189
32, 2070, 0.254824
18, 2070, 0.625032
25, 2060, 0.043453
32, 2060, 0.254333
18, 2060, 0.625277
25, 2050, 0.043944
32, 2050, 0.254824
18, 2050, 0.625523
32, 2040, 0.254579
25, 2040, 0.043944
18, 2040, 0.625523
25, 2030, 0.043698
32, 2030, 0.254579
18, 2030, 0.625523
25, 2020, 0.043698
32, 2020, 0.254824
18, 2020, 0.626014
25, 2010, 0.044680
32, 2010, 0.254824
18, 2010, 0.626014
25, 2000, 0.043698
32, 2000, 0.254579
18, 2000, 0.625277
25, 1990, 0.044435
32, 1990, 0.254579
18, 1990, 0.624786
25, 1980, 0.044680
32, 1980, 0.254579
18, 1980, 0.625523
25, 1970, 0.043698
32, 1970, 0.255070
18, 1970, 0.625523
25, 1960, 0.044189
32, 1960, 0.254333
18, 1960, 0.625523
32, 1950, 0.254579
25, 1950, 0.043944
18, 1950, 0.624295
25, 1940, 0.044189
32, 1940, 0.254824
18, 1940, 0.625032
25, 1930, 0.043944
32, 1930, 0.254824
18, 1930, 0.625523
25, 1920, 0.043944
32, 1920, 0.254333
18, 1920, 0.624541
25, 1910, 0.043944
32, 1910, 0.254824
18, 1910, 0.624541
25, 1900, 0.044435
32, 1900, 0.254824
18, 1900, 0.624541
25, 1890, 0.044189
32, 1890, 0.254333
18, 1890, 0.625032
25, 1880, 0.044189
32, 1880, 0.255070
18, 1880, 0.623559
25, 1870, 0.043453
32, 1870, 0.254579
18, 1870, 0.623068
32, 1860, 0.254333
25, 1860, 0.043698
18, 1860, 0.622086
25, 1850, 0.044189
32, 1850, 0.254824
18, 1850, 0.621595
25, 1840, 0.044189
32, 1840, 0.255315
18, 1840, 0.622086
25, 1830, 0.044435
32, 1830, 0.254824
18, 1830, 0.621595
25, 1820, 0.043944
32, 1820, 0.254824
18, 1820, 0.623313
25, 1810, 0.043944
32, 1810, 0.255315
18, 1810, 0.622822
25, 1800, 0.043944
32, 1800, 0.254579
18, 1800, 0.622577
25, 1790, 0.044680
32, 1790, 0.255070
18, 1790, 0.621595
25, 1780, 0.044680
32, 1780, 0.254579
18, 1780, 0.622086
25, 1770, 0.044435
32, 1770, 0.254333
18, 1770, 0.621840
25, 1760, 0.043944
32, 1760, 0.255070
18, 1760, 0.622577
32, 1750, 0.254824
25, 1750, 0.043944
18, 1750, 0.622822
25, 1740, 0.043944
32, 1740, 0.254824
18, 1740, 0.622822
25, 1730, 0.043944
32, 1730, 0.254579
18, 1730, 0.622086
25, 1720, 0.044189
32, 1720, 0.254579
18, 1720, 0.621840
25, 1710, 0.043698
32, 1710, 0.254824
18, 1710, 0.620122
25, 1700, 0.044435
32, 1700, 0.254579
18, 1700, 0.620367
25, 1690, 0.043698
32, 1690, 0.254824
18, 1690, 0.621104
25, 1680, 0.044435
