/dlm_data_19700101_000000.gdat1:
Parameter ID, Timestamp, Data
11, 2232, 320.610352
10, 2231, -25656.000000
9, 2231, -12828.000000
8, 2231, -6414.000000
8, 2230, -6412.000000
7, 2230, 121.000000
6, 2230, 25648.000000
11, 2214, 320.510345
10, 2214, -25640.000000
9, 2213, -12820.000000
8, 2213, -6410.000000
7, 2213, 123.000000
6, 2213, 25640.000000
6, 2212, 25640.000000
11, 2199, 320.410339
10, 2199, -25632.000000
10, 2198, -25632.000000
9, 2198, -12816.000000
8, 2198, -6408.000000
8, 2197, -6408.000000
7, 2197, 124.000000
6, 2197, 25632.000000
11, 2186, 320.310333
11, 2185, 320.310333
10, 2185, -25624.000000
9, 2185, -12812.000000
9, 2184, -12812.000000
8, 2184, -6404.000000
7, 2184, 126.000000
6, 2184, 25616.000000
11, 2170, 320.110321
10, 2170, -25608.000000
9, 2170, -12804.000000
9, 2169, -12804.000000
8, 2169, -6402.000000
7, 2169, 127.000000
6, 2169, 25608.000000
11, 2155, 320.010315
10, 2155, -25600.000000
10, 2154, -25600.000000
9, 2154, -12800.000000
8, 2154, -6400.000000
7, 2153, -128.000000
6, 2153, 25600.000000
11, 2139, 319.810303
10, 2139, -25584.000000
10, 2138, -25584.000000
9, 2138, -12792.000000
8, 2138, -6396.000000
7, 2138, -126.000000
7, 2137, -126.000000
6, 2137, 25584.000000
11, 2122, 319.810303
10, 2122, -25584.000000
9, 2122, -12792.000000
8, 2121, -6396.000000
7, 2121, -126.000000
6, 2121, 25584.000000
11, 2118, 319.710297
10, 2118, -25576.000000
9, 2118, -12788.000000
11, 2116, 319.610291
11, 2115, 319.710297
10, 2115, -25568.000000
9, 2115, -12784.000000
9, 2114, -12784.000000
8, 2114, -6392.000000
7, 2114, -124.000000
6, 2114, 25568.000000
11, 2101, 319.610291
11, 2100, 319.610291
10, 2100, -25568.000000
9, 2100, -12784.000000
11, 2097, 319.510284
10, 2097, -25560.000000
10, 2096, -25552.000000
9, 2096, -12780.000000
8, 2096, -6390.000000
7, 2096, -123.000000
7, 2095, -122.000000
6, 2095, 25560.000000
11, 2082, 319.410278
10, 2082, -25552.000000
9, 2082, -12776.000000
9, 2081, -12776.000000
8, 2081, -6388.000000
7, 2081, -122.000000
6, 2081, 25552.000000
11, 2077, 319.310272
10, 2077, -25544.000000
10, 2076, -25544.000000
9, 2076, -12772.000000
8, 2076, -6386.000000
8, 2075, -6386.000000
7, 2075, -121.000000
6, 2075, 25544.000000
11, 2064, 319.110260
11, 2063, 319.110260
10, 2063, -25528.000000
9, 2063, -12764.000000
9, 2062, -12764.000000
8, 2062, -6382.000000
7, 2062, -119.000000
6, 2062, 25528.000000
11, 2046, 319.010254
10, 2046, -25520.000000
9, 2046, -12760.000000
8, 2045, -6380.000000
7, 2045, -118.000000
6, 2045, 25520.000000
11, 2031, 318.910248
10, 2031, -25512.000000
9, 2031, -12756.000000
8, 2030, -6378.000000
7, 2030, -117.000000
6, 2030, 25512.000000
11, 2027, 318.810242
10, 2027, -25504.000000
9, 2027, -12752.000000
9, 2026, -12752.000000
8, 2026, -6376.000000
7, 2026, -116.000000
6, 2026, 25504.000000
6, 2025, 25504.000000
11, 2011, 318.710236
11, 2010, 318.710236
10, 2010, -25496.000000
9, 2010, -12748.000000
9, 2009, -12748.000000
8, 2009, -6374.000000
7, 2009, -115.000000
6, 2009, 25496.000000
11, 1999, 318.610229
10, 1999, -25488.000000
9, 1998, -12744.000000
8, 1998, -6372.000000
7, 1998, -114.000000
6, 1997, 25488.000000
11, 1984, 318.410217
10, 1984, -25472.000000
10, 1983, -25472.000000
9, 1983, -12736.000000
8, 1983, -6368.000000
7, 1983, -112.000000
7, 1982, -112.000000
6, 1982, 25472.000000
11, 1968, 318.310211
11, 1967, 318.310211
10, 1967, -25464.000000
9, 1967, -12732.000000
9, 1966, -12732.000000
8, 1966, -6366.000000
7, 1966, -111.000000
6, 1966, 25464.000000
11, 1952, 318.110199
10, 1952, -25448.000000
10, 1951, -25448.000000
9, 1951, -12724.000000
8, 1951, -6362.000000
7, 1950, -109.000000
6, 1950, 25448.000000
11, 1933, 317.910187
10, 1933, -25440.000000
9, 1933, -12720.000000
9, 1932, -12716.000000
8, 1932, -6358.000000
7, 1932, -107.000000
6, 1932, 25432.000000
6, 1931, 25440.000000
11, 1918, 317.810181
11, 1917, 317.810181
10, 1917, -25424.000000
9, 1917, -12712.000000
9, 1916, -12712.000000
8, 1916, -6356.000000
7, 1916, -106.000000
6, 1916, 25424.000000
6, 1915, 25424.000000
11, 1903, 317.610168
10, 1902, -25416.000000
9, 1902, -12708.000000
9, 1901, -12704.000000
8, 1901, -6352.000000
7, 1901, -104.000000
6, 1901, 25408.000000
6, 1900, 25408.000000
11, 1885, 317.510162
10, 1885, -25400.000000
9, 1885, -12700.000000
9, 1884, -12700.000000
8, 1884, -6350.000000
7, 1884, -103.000000
6, 1884, 25400.000000
6, 1883, 25400.000000
11, 1870, 317.310150
10, 1870, -25392.000000
9, 1870, -12696.000000
8, 1870, -6348.000000
8, 1869, -6348.000000
7, 1869, -102.000000
6, 1869, 25392.000000
11, 1856, 317.210144
11, 1855, 317.210144
10, 1855, -25376.000000
9, 1855, -12688.000000
9, 1854, -12688.000000
8, 1854, -6344.000000
7, 1854, -100.000000
6, 1854, 25376.000000
11, 1840, 317.210144
10, 1840, -25376.000000
9, 1840, -12688.000000
8, 1840, -6344.000000
7, 1840, -100.000000
6, 1839, 25376.000000
11, 1836, 317.010132
10, 1835, -25368.000000
9, 1835, -12684.000000
8, 1835, -6340.000000
8, 1834, -6340.000000
7, 1834, -98.000000
6, 1834, 25360.000000
11, 1820, 316.910126
10, 1820, -25352.000000
9, 1820, -12672.000000
9, 1819, -12676.000000
8, 1819, -6338.000000
7, 1819, -97.000000
6, 1819, 25352.000000
11, 1802, 316.710114
10, 1802, -25336.000000
10, 1801, -25336.000000
9, 1801, -12668.000000
8, 1801, -6334.000000
7, 1801, -95.000000
6, 1800, 25336.000000
11, 1789, 316.610107
11, 1788, 316.610107
10, 1788, -25328.000000
9, 1788, -12664.000000
8, 1788, -6332.000000
8, 1787, -6332.000000
7, 1787, -94.000000
6, 1787, 25328.000000
11, 1773, 316.510101
10, 1773, -25320.000000
9, 1772, -12660.000000
8, 1772, -6330.000000
7, 1772, -93.000000
6, 1771, 25320.000000
11, 1758, 316.310089
10, 1758, -25312.000000
9, 1758, -12656.000000
8, 1757, -6326.000000
7, 1757, -91.000000
6, 1757, 25304.000000
11, 1743, 316.210083
10, 1743, -25296.000000
9, 1743, -12648.000000
9, 1742, -12648.000000
8, 1742, -6324.000000
7, 1742, -90.000000
6, 1742, 25296.000000
6, 1741, 25296.000000
11, 1728, 316.110077
10, 1728, -25288.000000
9, 1728, -12644.000000
9, 1727, -12644.000000
8, 1727, -6322.000000
7, 1727, -89.000000
6, 1727, 25288.000000
6, 1726, 25280.000000
11, 1713, 315.910065
10, 1713, -25280.000000
9, 1712, -12640.000000
8, 1712, -6318.000000
7, 1712, -87.000000
6, 1711, 25272.000000
11, 1696, 315.810059
10, 1696, -25264.000000
9, 1696, -12632.000000
8, 1695, -6316.000000
7, 1695, -86.000000
6, 1695, 25264.000000
6, 1694, 25264.000000
11, 1681, 315.710052
10, 1681, -25256.000000
9, 1680, -12628.000000
8, 1680, -6314.000000
7, 1680, -85.000000
6, 1680, 25256.000000
11, 1677, 315.710052
10, 1677, -25256.000000
9, 1676, -12628.000000
8, 1676, -6314.000000
7, 1676, -85.000000
6, 1676, 25256.000000
11, 1672, 315.610046
10, 1672, -25248.000000
10, 1671, -25248.000000
9, 1671, -12624.000000
8, 1671, -6312.000000
8, 1670, -6310.000000
7, 1670, -84.000000
6, 1670, 25248.000000
11, 1658, 315.410034
10, 1658, -25232.000000
9, 1657, -12616.000000
8, 1657, -6308.000000
7, 1657, -82.000000
6, 1656, 25232.000000
11, 1638, 315.310028
10, 1637, -25224.000000
9, 1637, -12612.000000
8, 1637, -6306.000000
7, 1637, -81.000000
6, 1637, 25224.000000
11, 1633, 315.210022
10, 1633, -25216.000000
9, 1633, -12608.000000
9, 1632, -12608.000000
8, 1632, -6304.000000
7, 1632, -80.000000
6, 1632, 25216.000000
11, 1619, 315.110016
10, 1618, -25208.000000
9, 1618, -12604.000000
8, 1618, -6302.000000
8, 1617, -6302.000000
7, 1617, -79.000000
6, 1617, 25208.000000
11, 1605, 314.910004
10, 1605, -25192.000000
10, 1604, -25192.000000
9, 1604, -12596.000000
8, 1604, -6298.000000
7, 1604, -77.000000
7, 1603, -77.000000
6, 1603, 25192.000000
11, 1586, 314.809998
10, 1586, -25184.000000
10, 1585, -25176.000000
9, 1585, -12588.000000
8, 1585, -6294.000000
7, 1585, -75.000000
7, 1584, -75.000000
6, 1584, 25176.000000
11, 1569, 314.609985
10, 1569, -25168.000000
9, 1568, -12584.000000
8, 1568, -6292.000000
7, 1568, -74.000000
6, 1568, 25168.000000
6, 1567, 25168.000000
11, 1553, 314.409973
11, 1552, 314.409973
10, 1552, -25160.000000
9, 1552, -12580.000000
8, 1552, -6290.000000
8, 1551, -6288.000000
7, 1551, -73.000000
6, 1551, 25160.000000
11, 1538, 314.309967
11, 1537, 314.309967
10, 1537, -25144.000000
9, 1537, -12572.000000
9, 1536, -12572.000000
8, 1536, -6286.000000
7, 1536, -71.000000
6, 1536, 25144.000000
11, 1522, 314.209961
10, 1522, -25136.000000
9, 1522, -12568.000000
8, 1521, -6284.000000
7, 1521, -70.000000
6, 1521, 25136.000000
6, 1520, 25128.000000
11, 1505, 314.009949
10, 1505, -25120.000000
9, 1505, -12560.000000
9, 1504, -12564.000000
8, 1504, -6280.000000
7, 1504, -68.000000
6, 1504, 25120.000000
11, 1490, 313.809937
10, 1490, -25112.000000
9, 1490, -12556.000000
8, 1490, -6276.000000
8, 1489, -6276.000000
7, 1489, -66.000000
6, 1489, 25104.000000
11, 1471, 313.709930
10, 1471, -25096.000000
9, 1471, -12548.000000
9, 1470, -12548.000000
8, 1470, -6274.000000
7, 1470, -65.000000
6, 1470, 25096.000000
6, 1469, 25096.000000
11, 1455, 313.609924
10, 1455, -25088.000000
9, 1455, -12544.000000
9, 1454, -12544.000000
8, 1454, -6272.000000
7, 1454, -64.000000
6, 1454, 25088.000000
6, 1453, 25080.000000
11, 1440, 313.509918
10, 1440, -25080.000000
9, 1440, -12540.000000
