/dlm_data_19700101_015508.gdat:
Parameter ID, Timestamp, Data
11, 2197, 197051.687500
10, 2197, -16002296.000000
9, 2197, -8001148.000000
7, 2197, 97.000000
8, 2197, -2878.000000
6, 2197, 16002296.000000
7, 1950, 80.000000
8, 1950, -2400.000000
6, 1950, 16000384.000000
11, 1901, 197024.875000
10, 1901, -16000008.000000
9, 1901, -8000004.000000
7, 1900, 127.000000
8, 1900, -2306.000000
6, 1900, 16000008.000000
7, 1850, -81.000000
8, 1850, -2210.000000
6, 1850, 15999624.000000
11, 1801, 197015.968750
10, 1801, -15999248.000000
9, 1801, -7999624.000000
7, 1800, -34.000000
8, 1800, -2116.000000
6, 1800, 15999248.000000
7, 1750, 14.000000
8, 1750, -2020.000000
6, 1750, 15998864.000000
11, 1701, 197006.968750
10, 1701, -15998480.000000
9, 1701, -7999240.000000
7, 1650, 111.000000
8, 1650, -1826.000000
6, 1650, 15998088.000000
11, 1601, 196997.968750
10, 1601, -15997712.000000
9, 1601, -7998856.000000
7, 1600, -98.000000
8, 1600, -1732.000000
6, 1600, 15997712.000000
11, 1501, 196988.968750
10, 1501, -15996944.000000
9, 1501, -7998472.000000
7, 1500, -2.000000
8, 1500, -1540.000000
6, 1500, 15996944.000000
7, 1450, 46.000000
8, 1450, -1444.000000
6, 1450, 15996560.000000
7, 1400, 95.000000
8, 1400, -1346.000000
6, 1400, 15996168.000000
7, 1350, -113.000000
8, 1350, -1250.000000
6, 1350, 15995784.000000
11, 1301, 196970.968750
10, 1301, -15995408.000000
9, 1301, -7997704.000000
8, 1300, -1156.000000
7, 1300, -66.000000
6, 1300, 15995408.000000
11, 1201, 196961.968750
10, 1201, -15994640.000000
9, 1201, -7997320.000000
7, 1200, 30.000000
8, 1200, -964.000000
6, 1200, 15994640.000000
7, 1150, 78.000000
8, 1150, -868.000000
6, 1150, 15994256.000000
11, 1101, 196953.062500
10, 1101, -15993880.000000
9, 1101, -7996940.000000
7, 1100, 125.000000
8, 1100, -774.000000
6, 1100, 15993880.000000
7, 1050, -82.000000
8, 1050, -676.000000
6, 1050, 15993488.000000
11, 1001, 196944.062500
10, 1001, -15993112.000000
9, 1001, -7996556.000000
8, 1000, -582.000000
7, 1000, -35.000000
6, 1000, 15993112.000000
7, 950, 13.000000
8, 950, -486.000000
6, 950, 15992728.000000
11, 901, 196935.156250
10, 901, -15992352.000000
9, 901, -7996176.000000
7, 850, 109.000000
8, 850, -294.000000
6, 850, 15991960.000000
11, 801, 196926.062500
10, 801, -15991576.000000
9, 801, -7995788.000000
7, 750, -50.000000
8, 750, -100.000000
6, 750, 15991184.000000
11, 601, 196907.875000
10, 601, -15990024.000000
9, 601, -7995012.000000
7, 600, 95.000000
8, 600, 190.000000
6, 600, 15990024.000000
7, 550, -113.000000
8, 550, 286.000000
6, 550, 15989640.000000
7, 500, -64.000000
8, 500, 384.000000
6, 500, 15989248.000000
7, 450, -16.000000
8, 450, 480.000000
6, 450, 15988864.000000
11, 401, 196889.875000
10, 401, -15988488.000000
9, 401, -7994244.000000
7, 350, 80.000000
8, 350, 672.000000
6, 350, 15988096.000000
11, 301, 196880.875000
10, 301, -15987720.000000
9, 301, -7993860.000000
7, 300, 127.000000
8, 300, 766.000000
